naics,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23
331410,58,22,8,6,10,3,2,3,2,6,4,3,4,2,1,,4,3,2,3,1,5,6
331420,32,16,14,5,6,5,8,5,7,11,8,14,7,9,4,3,6,2,3,2,2,6,8
331491,74,43,27,15,9,9,10,2,8,13,3,7,7,7,2,5,3,3,,2,4,5,14
331492,58,40,11,9,5,10,9,2,7,13,8,3,3,5,2,5,7,5,1,1,2,5,6
331511,69,35,27,17,14,14,4,9,21,26,11,22,10,15,8,3,3,3,6,5,2,9,11
331512,6,5,9,8,5,4,4,2,5,11,11,6,4,2,3,,3,2,2,3,,1,3
331513,38,20,15,9,4,7,5,3,9,15,9,15,4,6,6,2,4,3,3,1,2,2,6
331523,69,64,34,19,13,18,15,11,14,21,19,23,8,11,8,5,11,3,3,3,1,6,12
331524,67,59,32,11,15,11,12,11,13,15,19,12,9,11,7,,2,,2,1,,4,5
331529,71,48,31,27,17,15,10,10,7,12,9,10,1,4,,1,2,2,1,2,,4,3
332111,112,33,25,13,9,6,9,4,6,15,15,15,4,10,4,3,7,4,4,3,7,5,12
332112,9,6,2,2,2,2,,2,3,4,3,1,,1,,2,1,2,2,1,1,2,5
332114,52,62,61,32,25,20,12,13,19,27,11,16,10,16,10,1,8,1,5,7,3,6,6
332117,7,10,13,13,5,6,7,2,5,6,5,7,2,5,2,2,5,1,1,1,,2,7
332119,265,244,145,100,63,61,41,36,71,111,43,64,27,26,7,5,9,6,3,4,5,5,16
332215,95,27,14,10,4,5,2,3,4,2,2,3,1,6,2,,,4,2,,,1,4
332216,369,173,73,42,43,33,15,17,26,32,28,17,10,9,6,5,2,5,2,2,2,5,11
332311,216,102,53,34,19,10,11,11,18,30,19,17,6,9,7,4,9,2,1,,1,4,2
332312,833,471,316,211,150,105,90,71,105,121,60,69,14,29,13,5,8,10,10,10,5,10,23
332313,297,196,167,85,75,61,37,41,40,70,38,39,14,17,14,5,4,4,4,3,4,3,5
332321,283,164,84,49,32,37,22,21,25,47,31,31,13,16,16,5,10,6,4,5,1,8,14
332322,1100,699,420,285,189,161,105,90,138,164,103,87,35,38,28,13,16,6,8,11,7,12,19
332323,1031,464,197,110,74,51,38,34,37,49,27,26,4,7,6,2,4,3,5,3,2,4,4
332410,28,38,16,18,6,12,9,8,9,17,15,18,10,8,8,4,5,4,3,,4,5,9
332420,112,75,62,47,26,40,26,19,41,39,28,28,20,21,11,9,6,4,9,2,3,9,9
332431,23,7,1,4,3,2,1,2,2,1,1,1,2,1,3,2,1,,,1,,4,6
332439,102,38,18,18,16,7,7,9,14,11,7,10,6,7,2,,1,3,,,2,3,9
332510,185,116,44,34,16,10,16,11,13,26,11,17,5,8,6,5,6,8,3,2,2,6,6
332613,73,61,41,27,14,15,4,5,19,19,15,13,4,5,2,2,2,1,4,1,1,3,5
332618,227,148,92,45,34,17,24,16,21,31,22,24,12,14,11,3,4,2,5,3,4,2,10
332710,8527,3972,1866,1065,693,462,314,241,357,433,205,166,88,70,29,18,18,13,20,13,9,22,33
332721,552,773,480,323,228,190,102,100,163,196,90,95,49,32,16,12,11,8,9,4,6,15,18
332722,148,122,80,35,32,19,23,17,29,36,28,22,14,21,8,6,7,2,6,3,1,4,9
332811,121,117,84,61,46,29,25,21,37,33,8,18,10,13,7,2,3,3,2,4,4,1,8
332812,828,512,264,134,99,60,39,45,77,82,44,44,21,22,12,4,7,6,8,3,5,10,17
332813,658,462,258,171,116,96,69,52,83,84,58,56,31,14,8,2,7,6,7,4,3,6,10
332911,84,51,44,22,21,15,16,6,18,24,13,17,10,13,1,5,7,3,4,8,3,10,16
332912,65,45,25,17,9,7,4,10,13,18,10,7,11,13,7,3,6,4,4,3,2,5,13
332913,45,15,5,2,1,3,3,6,4,5,3,4,1,6,3,2,,2,,1,,3,3
332919,49,23,18,16,4,5,11,11,16,14,4,8,7,9,5,1,2,,6,6,1,6,9
332991,23,13,8,3,5,8,2,1,6,6,5,3,3,3,3,3,1,,2,4,5,6,6
332992,65,19,11,8,6,4,2,4,2,2,3,,2,1,,,,1,1,,,3,2
332993,22,4,3,2,2,,2,,2,1,2,,,1,1,,,,1,1,,2,6
332994,210,54,26,22,10,11,5,3,15,23,13,10,3,4,3,2,2,2,,3,,2,5
332996,177,122,70,48,28,22,19,13,21,40,30,24,15,8,6,5,9,5,5,3,4,7,14
332999,1524,668,358,231,165,121,81,53,71,105,61,80,37,17,18,13,18,9,5,4,8,10,24
333111,335,180,98,64,53,50,29,19,38,47,29,28,15,23,6,9,8,9,6,3,2,3,12
333112,62,21,12,8,5,1,6,3,4,2,5,4,3,,,2,2,,4,,1,,6
333120,165,74,79,37,26,30,25,19,27,41,27,29,7,19,9,6,11,3,3,5,3,10,13
333131,51,25,21,24,12,17,6,2,11,6,8,8,9,7,4,3,1,1,1,2,2,7,5
333132,144,88,58,27,25,27,13,14,34,25,27,19,14,18,10,,7,2,5,6,3,15,18
333241,134,52,45,29,20,19,12,13,25,24,19,12,4,8,3,2,2,2,3,2,1,1,5
333242,35,28,13,11,7,8,7,3,5,9,4,4,3,4,2,,3,3,3,3,3,6,3
333243,123,72,27,23,20,17,7,6,18,25,11,10,2,2,5,4,1,2,1,,1,3,4
333244,98,62,38,28,12,11,7,7,7,15,2,5,5,4,,5,2,,1,1,1,,3
333249,657,314,180,118,98,53,46,30,46,67,35,45,22,19,15,15,12,10,6,4,4,15,22
333314,128,57,39,23,21,14,12,8,11,16,9,8,4,9,4,1,2,3,5,4,2,3,12
333316,99,35,20,11,3,2,2,3,8,7,3,5,,1,1,1,3,,,,,2,6
333318,452,209,120,72,51,33,33,25,39,68,31,37,26,14,7,12,14,8,8,10,3,9,18
333413,89,73,32,29,14,18,12,13,26,23,12,13,5,9,,8,10,3,2,1,1,10,7
333414,155,62,35,18,17,7,7,12,15,26,14,13,6,9,5,3,4,,2,1,3,4,6
333415,176,111,67,38,24,25,20,15,26,39,29,25,15,23,13,3,10,5,7,6,2,13,19
333511,494,302,155,121,83,41,51,37,43,72,33,35,18,16,7,10,6,7,5,4,3,2,6
333514,838,518,287,148,111,76,49,42,57,75,26,28,13,19,5,5,9,5,6,3,1,8,8
333515,446,237,117,77,57,48,33,26,33,28,21,19,9,16,6,5,2,1,5,4,1,4,6
333517,356,166,95,57,45,42,20,24,35,45,16,17,12,16,10,4,5,4,9,5,2,4,5
333519,87,60,35,29,16,18,9,10,11,21,8,14,2,7,1,2,1,2,1,4,2,4,2
333611,49,24,10,11,10,12,8,4,6,13,2,11,2,4,2,3,3,2,3,3,,8,14
333612,32,31,24,13,6,7,3,6,8,19,7,7,6,5,,1,3,3,4,3,1,3,9
333613,32,29,28,11,8,11,5,5,11,16,5,10,1,4,3,,4,2,,4,1,9,11
333618,72,45,17,15,15,7,5,5,7,11,3,6,7,4,8,2,5,4,3,3,,5,16
333911,98,63,47,36,21,9,16,12,10,24,13,14,8,7,2,2,9,5,7,,3,9,18
333912,81,27,20,13,14,9,5,8,9,13,8,10,2,7,2,1,2,1,10,2,3,7,9
333913,9,1,3,2,1,,3,1,2,,,3,1,,,,,1,,,2,,6
333921,49,27,14,10,12,6,1,3,8,6,3,8,1,3,2,2,1,,,,,1,6
333922,147,97,65,54,57,35,32,21,32,62,32,28,15,17,8,5,8,,4,4,3,6,8
333923,58,47,31,18,16,8,6,6,9,14,8,11,7,10,2,1,3,,2,1,3,2,5
333924,87,54,26,19,7,9,8,10,9,16,19,11,8,8,8,2,2,6,1,1,1,5,9
333991,38,31,14,6,7,5,6,2,2,4,1,3,1,,,1,1,,1,1,2,1,9
333992,137,59,35,15,13,7,7,8,15,16,6,7,5,2,1,1,,2,2,2,,3,5
333993,140,81,55,40,26,24,19,6,22,31,14,17,6,7,3,2,5,2,2,1,1,6,12
333994,67,54,39,30,20,11,9,18,15,17,11,12,4,5,2,2,1,,1,3,1,1,3
333995,51,37,21,12,15,11,7,3,11,16,11,16,8,5,3,4,4,4,6,3,2,3,16
333996,36,20,14,8,2,,2,2,4,8,8,4,1,4,2,,,,1,1,,3,7
333997,20,12,11,2,4,3,2,1,2,1,1,3,1,2,1,,2,,,,,1,1
333999,457,245,136,109,67,39,42,39,51,75,43,36,19,20,9,11,7,5,12,6,1,16,34
334111,188,55,31,20,11,8,9,7,3,8,13,5,4,9,2,,1,2,2,,,3,11
334112,40,11,2,8,1,1,1,1,5,4,3,3,2,2,,2,2,2,2,1,1,2,3
334118,234,97,40,31,28,17,16,9,8,24,8,17,8,7,1,3,5,5,2,2,2,6,18
334210,71,31,24,13,11,3,4,8,13,11,4,8,10,7,2,2,6,3,3,3,2,3,7
334220,205,115,63,44,30,22,17,9,32,33,12,17,9,11,7,5,5,6,7,7,3,13,22
334290,142,60,19,10,17,3,6,7,9,19,6,8,7,2,4,1,4,1,1,3,1,2,14
334310,237,81,39,29,9,7,7,5,13,14,7,5,7,8,1,1,2,1,,,1,2,
334412,147,82,41,25,23,21,16,11,29,23,25,26,7,6,3,1,5,5,1,1,1,7,6
334413,265,119,69,54,35,12,17,9,26,26,15,22,9,9,11,6,13,12,13,11,1,9,21
334416,61,56,26,29,17,20,16,7,25,25,20,21,10,6,2,2,4,2,3,2,3,1,3
334417,42,23,18,7,11,9,6,3,4,9,3,10,7,3,3,3,,4,2,,2,6,9
334418,154,97,67,57,49,40,29,33,43,62,38,47,23,16,8,8,13,5,6,2,3,13,10
334419,306,157,92,54,41,39,37,29,38,44,34,40,25,19,14,5,12,6,10,3,5,6,21
334510,188,89,43,49,24,17,10,15,23,39,13,32,16,15,3,7,6,7,7,5,4,12,29
334511,140,55,39,20,30,11,15,11,13,23,12,9,8,4,3,2,1,3,3,6,1,10,28
334512,102,46,18,17,10,6,11,4,6,9,5,5,2,5,,2,,1,2,3,3,3,12
334513,306,120,59,38,35,24,18,11,20,31,15,21,7,7,11,4,9,4,7,7,1,7,20
334514,56,30,14,12,3,5,6,3,6,10,5,3,1,4,4,5,2,1,3,2,3,3,6
334515,259,125,87,39,28,31,20,11,22,36,23,21,9,11,7,5,7,2,9,6,2,7,21
334516,181,102,54,32,29,11,11,12,25,34,17,19,10,8,8,2,8,7,3,8,2,10,16
334517,47,23,8,10,5,4,7,2,5,6,2,11,,,3,1,3,2,2,,,5,6
334519,307,140,77,41,35,30,23,23,19,36,17,27,10,7,9,4,7,4,12,1,4,12,23
334613,40,17,6,3,2,,2,,,3,1,,,,1,,,,,,,,1
334614,269,51,31,13,13,9,9,9,7,10,8,3,2,2,,3,1,,,1,,3,3
335110,21,10,4,4,2,,2,1,2,5,3,3,3,,,,1,,,,,1,2
335121,144,64,29,18,9,10,9,4,8,6,1,4,1,3,,,1,,,,1,1,3
335122,113,67,33,23,23,15,11,10,15,22,15,12,9,7,2,2,1,4,,1,2,1,8
335129,96,44,20,17,12,10,10,2,4,13,8,8,4,4,4,1,2,4,1,1,,4,10
335210,57,13,9,9,5,5,2,3,,3,2,4,1,2,3,1,,4,1,1,,2,3
335221,29,15,5,3,3,3,,2,2,3,4,1,2,2,,1,,1,1,2,,2,3
335222,6,2,,1,1,,,1,,1,,3,1,,,1,,,1,1,,1,3
335224,1,,,,,,1,,,,,,,,,,,,,,,,2
335228,4,1,1,2,,,,,,,,1,1,,,,1,,2,,,3,5
335311,64,36,14,8,14,5,4,4,7,15,12,10,3,4,2,4,5,4,1,,1,5,6
335312,123,51,44,27,16,15,11,8,13,15,12,9,5,6,4,2,7,6,7,2,1,3,18
335313,128,87,45,29,16,13,12,9,10,26,8,8,11,10,8,8,5,1,1,3,2,2,11
335314,286,139,68,52,38,24,18,21,24,46,14,19,16,8,3,1,6,3,3,5,3,8,28
335911,36,8,7,4,1,3,3,1,7,6,4,3,3,4,,3,2,2,1,,2,4,3
335912,21,7,2,2,1,4,,,2,,3,1,1,1,,,1,1,1,,1,2,1
335921,23,13,6,3,3,3,4,2,6,10,1,4,1,1,1,1,1,2,1,3,,1,3
335929,32,21,24,13,15,12,8,3,3,23,8,13,7,7,2,1,3,,4,3,2,6,13
335931,82,53,35,21,12,18,9,8,15,24,20,19,10,10,7,,9,4,2,4,1,6,11
335932,32,22,13,6,2,2,1,2,7,5,2,6,3,6,3,2,1,1,2,3,2,2,7
335991,32,18,9,6,8,2,6,3,5,7,2,2,2,6,1,1,,1,3,1,1,2,3
335999,307,124,72,43,28,21,13,15,27,37,15,18,13,13,5,6,7,5,6,6,1,8,18
336111,70,29,15,5,5,3,1,2,2,2,4,4,,1,1,,,,3,2,,3,11
336112,22,4,8,4,1,,2,1,4,1,,1,,,,1,1,,1,1,,1,9
336120,12,7,4,6,1,2,1,3,2,2,1,1,2,3,1,,2,4,,3,,1,6
336211,174,90,69,50,31,27,23,22,25,36,25,18,10,14,5,6,7,4,8,5,2,5,13
336212,74,50,43,24,19,21,12,9,21,21,19,12,6,5,8,5,2,2,2,2,1,3,6
336213,11,7,2,4,3,1,,1,1,2,2,4,1,,,,1,,1,,,1,4
336214,181,88,54,33,28,22,11,10,20,32,14,23,11,11,8,5,3,,3,2,,3,6
336310,387,145,44,30,16,16,10,9,14,17,8,15,8,11,6,3,10,6,6,3,6,9,19
336320,212,99,54,31,25,19,6,8,19,27,13,20,16,13,5,5,4,6,12,4,4,7,17
336330,62,27,16,13,9,6,5,6,5,8,3,3,6,9,1,3,2,2,8,1,4,5,8
336340,38,19,9,3,5,6,3,2,4,6,6,7,1,8,6,3,,2,4,1,3,6,9
336350,121,64,32,12,16,11,9,6,10,20,5,17,6,12,4,1,10,5,10,5,4,10,19
336360,56,50,24,18,10,5,8,2,10,21,13,10,7,9,4,7,6,7,8,3,3,9,7
336370,82,60,41,31,30,17,25,17,26,59,35,54,26,28,25,11,15,16,10,8,3,6,13
336390,373,174,110,53,33,30,29,28,36,49,23,43,28,32,13,17,34,20,20,11,15,23,30
336411,93,30,19,10,9,3,10,5,6,5,6,6,10,9,2,3,2,2,2,2,3,4,12
336412,91,35,19,22,15,10,11,8,15,21,14,14,13,7,3,3,3,2,7,2,2,8,17
336413,209,98,78,53,27,27,18,17,27,35,28,33,13,12,3,3,9,3,7,3,1,12,32
336414,3,1,1,,,,1,,2,1,1,,1,,,,,,,1,,2,6
336415,2,,,,1,,,,,1,,,2,,,,,,1,,,3,6
336419,12,8,3,2,2,2,,,1,3,2,2,,1,,,1,,2,1,,1,6
336510,31,19,16,15,7,4,3,3,3,7,6,7,5,5,2,5,1,,5,1,6,4,10
336611,208,95,55,22,21,17,8,5,18,26,19,24,19,9,12,5,10,2,6,,3,2,9
336612,365,120,66,53,27,20,8,11,19,27,28,15,16,9,6,6,6,3,1,1,,1,4
336991,237,70,38,21,14,13,5,5,6,12,5,6,2,1,1,1,1,1,2,,,1,2
336992,15,5,5,2,1,2,,3,3,2,5,3,,3,,,1,,,1,,,6
336999,204,74,31,15,7,7,8,3,7,8,4,7,2,3,3,,,,3,2,3,2,4
337110,3703,1323,503,268,167,96,73,50,64,72,25,39,20,15,16,5,9,4,5,2,1,3,5
337121,440,201,97,50,41,14,17,6,23,29,21,25,14,14,8,1,10,7,6,1,1,4,8
337122,1350,415,151,81,31,36,23,14,22,29,19,14,12,5,1,5,8,2,4,,1,3,4
337124,127,43,25,17,14,3,5,5,7,8,11,4,1,5,3,3,,,,1,,2,4
337125,113,40,9,8,7,4,2,3,1,,,3,1,2,1,1,,,1,,,,1
337127,167,106,58,53,38,31,21,15,26,33,24,30,14,13,7,3,7,3,3,,2,2,3
337211,151,62,30,14,11,10,4,7,8,11,9,11,6,5,2,1,,1,1,1,1,3,3
337212,541,399,242,163,108,91,61,34,70,82,36,42,13,6,5,3,2,1,1,,1,2,4
337214,58,42,17,16,9,5,4,4,7,11,9,10,3,2,5,2,1,1,1,1,,4,7
337215,346,174,73,69,47,35,27,25,31,38,35,29,15,15,9,5,10,4,4,,1,2,8
337910,99,53,35,27,13,15,6,13,14,24,22,11,2,8,1,2,1,,,2,1,6,3
337920,164,51,26,22,10,8,7,5,4,10,6,2,1,3,5,1,2,,1,1,,1,1
339112,408,179,96,62,37,32,22,19,28,59,38,42,21,18,12,14,11,11,10,10,8,19,31
339113,675,356,170,96,69,49,45,35,41,56,44,56,30,32,9,11,15,9,5,4,5,12,33
339114,341,143,37,30,16,9,13,5,13,10,6,11,3,7,3,4,2,2,2,1,1,2,2
339115,167,74,32,22,10,9,7,7,5,13,5,6,4,8,3,1,3,3,1,1,1,2,11
339116,4368,945,314,135,94,55,28,19,36,35,22,18,3,3,3,1,1,3,1,1,2,4,4
339910,1372,337,135,53,42,34,16,19,31,27,15,15,5,3,3,2,2,2,3,1,,3,3
339920,830,292,144,79,41,34,24,18,31,41,22,28,10,10,11,3,7,5,4,4,1,2,3
339930,339,83,32,30,12,10,5,5,7,9,7,3,2,3,1,,4,,1,,,2,1
339940,223,96,42,25,16,8,9,2,12,19,2,7,2,5,3,4,3,,1,1,1,,4
339950,2975,1013,427,206,168,98,80,62,85,98,60,47,18,19,11,9,8,3,5,1,3,5,4
339991,132,87,56,43,27,19,9,12,18,19,17,13,9,5,9,1,5,,10,2,2,6,15
339992,339,95,48,19,12,10,13,4,8,9,6,6,2,4,2,2,1,1,2,1,,,
339993,47,24,12,6,5,5,1,1,4,1,5,1,2,2,,,3,1,1,1,,1,1
339994,48,31,21,15,9,7,3,3,6,10,3,5,1,2,1,4,3,,,,1,1,6
339995,37,21,6,7,4,2,,1,2,2,3,2,1,1,,,,1,,,,3,
339999,1737,639,336,198,99,80,55,34,33,41,36,31,15,13,8,3,8,1,3,,2,5,9
423110,2977,668,322,200,122,92,88,63,114,157,92,112,42,53,24,16,25,14,16,9,6,21,30
423120,4333,1627,796,436,276,167,136,115,152,203,139,148,65,82,55,28,54,29,37,26,15,44,49
423130,547,180,107,69,46,31,19,23,30,50,37,33,18,21,17,7,9,5,5,3,2,2,8
423140,847,394,166,84,44,25,18,9,18,11,9,8,4,6,2,,2,1,1,2,2,1,3
423210,2720,830,421,221,145,111,74,46,82,111,58,55,38,22,9,2,12,3,9,2,3,13,14
423220,2839,989,511,283,150,106,109,81,86,137,59,78,45,41,18,10,12,9,5,2,1,5,13
423310,2215,851,452,233,174,118,96,75,122,156,81,102,42,63,34,8,26,17,12,10,4,21,22
423320,1103,410,199,115,78,36,26,24,38,55,27,23,16,28,10,6,17,8,9,4,8,10,17
423330,396,158,93,50,20,15,23,15,21,35,11,25,9,15,11,8,7,3,6,1,4,5,16
423390,1041,442,211,103,82,56,35,34,46,62,39,33,29,20,14,7,9,4,6,3,2,9,20
423410,371,145,68,47,24,11,13,4,6,16,13,6,7,5,2,1,3,2,,1,,3,5
423420,918,486,255,159,111,84,57,39,50,79,42,43,18,21,3,4,8,3,7,1,1,5,11
423430,3443,1070,550,274,220,152,106,86,127,161,83,96,51,38,19,16,25,12,16,7,12,18,40
423440,1733,752,322,195,107,70,60,37,63,73,38,29,17,20,22,7,9,4,5,4,1,6,17
423450,4569,1117,450,263,150,91,87,49,81,98,61,78,32,30,17,27,25,19,12,11,9,25,54
423460,522,126,73,47,22,11,5,10,11,27,13,13,5,7,3,,4,4,3,2,1,2,7
423490,917,355,161,96,60,28,24,19,25,25,11,7,9,10,7,4,10,3,6,1,5,7,17
423510,3130,1371,701,394,255,197,126,96,156,199,119,120,52,55,41,17,33,21,22,15,11,33,42
423520,216,60,15,11,6,,5,8,3,5,2,2,4,4,1,1,2,,3,1,1,2,12
423610,4360,1624,751,394,245,167,130,107,164,193,86,117,52,79,36,17,33,21,21,13,9,26,35
423620,1050,361,180,110,74,32,33,30,38,49,29,29,12,20,9,10,3,5,6,2,3,9,14
423690,4785,1621,667,405,256,183,129,110,158,192,111,99,55,66,31,28,43,31,24,20,12,42,58
423710,2523,948,463,252,179,105,75,55,111,111,58,55,33,33,12,7,9,6,5,5,7,17,23
423720,1180,634,261,172,89,69,51,42,55,90,43,60,35,31,17,9,18,7,4,6,1,17,11
423730,759,431,197,116,70,63,44,29,56,71,41,48,25,24,15,11,10,3,4,4,1,10,13
423740,301,140,68,35,15,18,11,6,17,23,11,18,8,5,7,4,1,1,3,1,,3,3
423810,1238,500,246,160,77,73,49,43,65,76,35,59,26,34,18,17,30,12,20,14,6,14,14
423820,1852,1050,628,404,267,157,130,74,118,148,76,99,45,51,19,15,13,11,11,6,4,9,12
423830,11170,4500,2029,1067,658,498,340,276,369,466,225,269,151,151,80,60,89,37,53,28,27,71,78
423840,2546,959,433,280,175,139,82,64,108,157,79,76,48,38,22,15,25,7,24,9,6,26,29
423850,1492,667,298,171,99,63,53,34,55,63,25,35,14,19,6,9,7,3,2,4,,9,11
423860,1092,391,183,108,59,42,30,29,36,48,26,26,12,14,8,4,11,10,3,3,5,14,25
423910,3115,809,329,194,129,90,64,47,72,81,41,36,18,27,13,10,18,10,5,4,1,10,13
423920,1193,362,140,80,46,25,25,13,24,32,19,24,7,8,11,2,10,,2,5,1,1,3
423930,3534,1478,689,450,242,182,131,103,136,158,86,61,34,33,21,10,15,11,6,4,6,9,22
423940,5419,1144,345,175,86,48,34,29,37,45,25,20,10,12,9,4,3,2,4,1,3,1,6
423990,6080,1425,539,291,175,109,90,58,81,106,64,69,26,26,13,16,11,5,10,7,5,13,23
424110,347,94,34,17,19,10,4,2,10,6,3,9,3,7,5,1,2,2,3,2,3,2,5
424120,2086,658,279,142,106,65,51,40,44,63,33,42,21,16,8,4,5,2,3,2,2,5,15
424130,1776,646,357,177,134,77,50,53,84,98,48,43,22,31,18,10,13,5,14,3,5,14,22
424210,3771,1033,484,234,157,139,97,69,99,143,78,104,43,48,29,16,34,17,15,13,16,32,68
424310,1678,448,197,96,58,42,34,20,25,34,21,21,6,11,8,2,8,2,5,4,1,2,8
424320,1885,553,259,135,88,62,38,29,49,67,31,42,21,24,17,3,12,2,5,6,4,7,18
424330,4668,1169,495,289,162,101,83,66,110,112,71,70,34,36,26,6,10,8,7,4,3,8,19
424340,860,255,113,69,37,24,15,14,26,28,6,14,9,9,3,6,3,2,3,,5,3,9
424410,1220,386,161,81,64,47,42,26,35,60,25,19,16,16,18,6,8,11,9,6,1,8,22
424420,1294,471,209,130,103,63,61,29,48,85,43,42,23,28,18,7,16,10,5,6,2,13,29
424430,744,255,139,72,50,41,23,17,36,51,29,28,10,17,7,7,5,8,4,3,3,10,14
424440,176,66,30,25,17,13,7,10,16,21,6,6,6,6,3,1,2,,,,,1,8
424450,1312,263,127,70,44,35,24,12,22,35,10,21,13,7,7,2,3,2,3,3,3,4,10
424460,1191,320,139,83,49,41,26,25,36,32,18,14,7,5,4,1,,4,2,2,,1,3
424470,909,377,223,130,87,55,38,32,41,61,24,18,14,19,9,3,14,4,4,2,1,5,17
424480,2034,783,396,231,141,130,92,63,116,142,78,91,42,40,17,13,17,9,5,2,,8,9
424490,5836,1466,680,364,227,180,118,91,168,204,97,111,63,72,48,16,27,15,26,21,8,30,48
424510,730,461,274,142,78,55,51,49,51,64,48,48,29,38,19,10,15,2,2,5,3,6,13
424520,376,91,39,35,34,14,12,3,13,2,2,1,2,,1,2,,,1,,,,2
424590,379,100,45,17,9,7,7,6,10,6,8,6,4,5,1,2,4,3,,,1,,3
424610,1183,438,204,113,63,35,36,22,41,44,23,38,11,23,14,12,9,9,9,3,6,11,19
424690,3240,1115,489,260,170,121,70,71,90,140,61,72,29,47,29,20,18,10,19,9,11,42,50
424710,588,523,291,193,120,117,85,61,91,133,96,102,56,68,36,18,30,15,15,7,6,18,30
424720,859,274,118,74,39,41,22,26,39,41,40,45,30,26,16,11,15,10,9,5,4,12,28
424810,442,139,84,59,60,55,58,38,77,119,77,104,61,70,32,14,11,7,8,1,1,4,4
424820,1118,353,139,84,51,27,33,18,36,30,27,31,15,22,15,5,16,7,7,1,6,6,6
424910,2288,844,423,200,152,122,85,52,85,92,74,85,35,66,28,18,17,3,4,7,2,15,17
